original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
45268	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-12	Parts per billion	2.878261	6.8	14	6	Parts per million	0.026167	0.029	8	27	Parts per billion	0.306818	0.5	14	0.0	Parts per million	0.274638	0.3	5	3.0
45272	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-13	Parts per billion	5.430435	8.6	19	8	Parts per million	0.023625	0.027	10	25	Parts per billion	0.367208	0.5	16	0.0	Parts per million	0.295652	0.3	0	3.0
45276	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-14	Parts per billion	3.626087	5.3	7	5	Parts per million	0.027625	0.032	12	30	Parts per billion	0.3555195	0.5	10	0.0	Parts per million	0.3	0.3	0	3.0
45280	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-15	Parts per billion	1.891304	3.6	0	3	Parts per million	0.026083	0.031	7	29	Parts per billion	0.3694805	0.5	8	0.0	Parts per million	0.280616	0.3	0	3.0
45284	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-16	Parts per billion	4.891304	10.9	6	9	Parts per million	0.022125	0.028	11	26	Parts per billion	0.4038965	1.3	5	1.0	Parts per million	0.2594205	0.3	2	3.0
45288	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-17	Parts per billion	2.491304	4.9	19	4	Parts per million	0.0255	0.031	9	29	Parts per billion	0.337013	0.5	7	0.0	Parts per million	0.2065215	0.3	16	2.0
45292	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-18	Parts per billion	9.680952	25.2	6	24	Parts per million	0.021458	0.038	10	35	Parts per billion	0.4761904999999999	0.8	14	0.0	Parts per million	0.3160715	0.9	6	6.0
45296	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-19	Parts per billion	10.777273	19.1	6	18	Parts per million	0.023125	0.036	11	33	Parts per billion	1.0561905	2.0	8	3.0	Parts per million	0.355682	1.3	6	8.0
45300	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-20	Parts per billion	4.626087	10.4	6	9	Parts per million	0.021417	0.025	23	23	Parts per billion	0.660065	1.1	7	1.0	Parts per million	0.2086954999999999	0.3	5	2.0
45304	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-21	Parts per billion	3.717391	6.8	6	6	Parts per million	0.029125	0.036	12	33	Parts per billion	0.4019479999999999	0.8	7	0.0	Parts per million	0.22346	0.3	9	3.0
45308	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-22	Parts per billion	5.256522	15.4	2	14	Parts per million	0.023167	0.036	10	33	Parts per billion	0.466883	0.9	18	0.0	Parts per million	0.295562	0.7	6	6.0
45312	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-23	Parts per billion	7.195652	17.4	5	16	Parts per million	0.020625	0.032	9	30	Parts per billion	0.7457794999999999	1.5	5	1.0	Parts per million	0.3448369999999999	1.2	6	7.0
45316	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-24	Parts per billion	3.515	11.0	2	10	Parts per million	0.031176	0.04	8	37	Parts per billion	0.3621055	0.6	0	0.0	Parts per million	0.2385295	0.3	0	3.0
45320	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-25	Parts per billion	3.03913	7.5	5	7	Parts per million	0.024833	0.032	8	30	Parts per billion	0.3227275	0.4	5	0.0	Parts per million	0.240489	0.3	1	3.0
45324	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-26	Parts per billion	10.195652	25.2	6	24	Parts per million	0.020833	0.034	10	31	Parts per billion	0.515909	0.9	6	0.0	Parts per million	0.359692	1.1	6	7.0
45328	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-27	Parts per billion	10.708696	29.1	5	27	Parts per million	0.019375	0.037	10	34	Parts per billion	0.638961	1.4	13	1.0	Parts per million	0.391848	1.2	6	7.0
45332	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-28	Parts per billion	8.3	20.0	4	19	Parts per million	0.0245	0.043	9	40	Parts per billion	0.7064935	1.2	13	1.0	Parts per million	0.4141305	1.0	6	7.0
45336	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-29	Parts per billion	3.886957	9.5	4	8	Parts per million	0.019542	0.024	8	22	Parts per billion	0.4366885	0.7	8	0.0	Parts per million	0.2807969999999999	0.3	1	3.0
45340	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-09-30	Parts per billion	4.8	10.7	6	9	Parts per million	0.024917	0.033	18	31	Parts per billion	0.381169	0.6	7	0.0	Parts per million	0.289221	0.4	9	3.0
